coreid,catalogNumber,identifier
aa3272f1-7f3c-41c5-904c-83c7c9a1bbfa,4409133,https://api.naturemapr.org/api/sightings/4409133/images/1
ea5d03a0-5921-4a3e-ad4c-59f9ebd05a72,4409134,https://api.naturemapr.org/api/sightings/4409134/images/1
00eff9a1-3501-412c-b3a9-d746580097b0,4409028,https://api.naturemapr.org/api/sightings/4409028/images/1
c6fd1018-81c4-4a0d-a148-35923026c786,4409026,https://api.naturemapr.org/api/sightings/4409026/images/1
c51b1366-3be7-4898-a311-9b229b753061,4409184,https://api.naturemapr.org/api/sightings/4409184/images/1
6adef64c-b0fd-4a15-a615-6e1781621f23,4409178,https://api.naturemapr.org/api/sightings/4409178/images/1
97f2d7ba-ec2e-481e-9ee3-0395b5912018,4409181,https://api.naturemapr.org/api/sightings/4409181/images/1
b0b8c60c-12c3-4369-a777-a49c805cff50,4409176,https://api.naturemapr.org/api/sightings/4409176/images/1
f10f3aef-57d1-43c9-abb1-8dc588163c12,4409019,https://api.naturemapr.org/api/sightings/4409019/images/1
74bd5f31-99df-40f6-b553-3bd28c03cf81,4409020,https://api.naturemapr.org/api/sightings/4409020/images/1
c64d0055-2148-454a-8875-d034dee065b0,4409021,https://api.naturemapr.org/api/sightings/4409021/images/1
affa3819-7b23-41ed-856e-16157426b919,4409022,https://api.naturemapr.org/api/sightings/4409022/images/1
e32a4cca-7efe-4d27-80e9-80094e8b8fc4,4409146,https://api.naturemapr.org/api/sightings/4409146/images/1
e1f9c2b3-176b-4522-9739-ebf9e105223c,4409149,https://api.naturemapr.org/api/sightings/4409149/images/1
27d8007f-3941-4a4f-bd5c-482b75e60019,4409027,https://api.naturemapr.org/api/sightings/4409027/images/1
181d5422-8787-46b5-8abe-e9154130b906,4409015,https://api.naturemapr.org/api/sightings/4409015/images/1
67f38ccf-d742-4085-b1da-a1fd56c7774a,4409023,https://api.naturemapr.org/api/sightings/4409023/images/1
c83a137e-5128-4570-8fcb-2d8293b17a28,4409013,https://api.naturemapr.org/api/sightings/4409013/images/1
dfba00f7-0285-4b43-9039-6c0ea2950a88,4409031,https://api.naturemapr.org/api/sightings/4409031/images/1
336d30e8-2e55-4f28-bc52-5b1634540a2b,4409032,https://api.naturemapr.org/api/sightings/4409032/images/1
674d957e-864e-4a89-9ff5-27f213b025c7,4409115,https://api.naturemapr.org/api/sightings/4409115/images/1
8bc0e941-bbfc-49b4-861f-fe85db3e1751,4409114,https://api.naturemapr.org/api/sightings/4409114/images/1
0fe30408-1e05-4c5b-b342-73dd8af7ebc5,4409116,https://api.naturemapr.org/api/sightings/4409116/images/1
f1a768c6-e40f-44a6-8b18-3363c0b39f13,4409069,https://api.naturemapr.org/api/sightings/4409069/images/1
6c462e68-d054-4190-8249-eb54e0dd0185,4409113,https://api.naturemapr.org/api/sightings/4409113/images/1
2431a46b-2d33-41eb-ad7f-43a9f10993a7,4409112,https://api.naturemapr.org/api/sightings/4409112/images/1
862de98f-8ad3-4d12-a009-3f4368ee7437,4409111,https://api.naturemapr.org/api/sightings/4409111/images/1
24635fac-c30c-4662-991a-827d57164d0b,4409110,https://api.naturemapr.org/api/sightings/4409110/images/1
07b7e222-aa78-4982-86f1-99ab451ee864,4409108,https://api.naturemapr.org/api/sightings/4409108/images/1
0c097b4a-433c-4b78-96b5-3c4e9d7cdf67,4409005,https://api.naturemapr.org/api/sightings/4409005/images/1
869142e5-7fbf-4f2e-9121-634fc385448c,4409106,https://api.naturemapr.org/api/sightings/4409106/images/1
f9bd588b-86c7-48b1-bddf-3fe2ae511475,4409004,https://api.naturemapr.org/api/sightings/4409004/images/1
7eeedf22-7c58-444c-8d66-d911ff27746d,4408965,https://api.naturemapr.org/api/sightings/4408965/images/1
911b7581-1266-4a63-9e4e-0b9b33d98783,4409104,https://api.naturemapr.org/api/sightings/4409104/images/1
c4408893-5636-46cd-9f80-2320de0a67f4,4409099,https://api.naturemapr.org/api/sightings/4409099/images/1
8ae2d290-bd0a-4401-88b8-e7b539c4839b,4409003,https://api.naturemapr.org/api/sightings/4409003/images/1
dc3da568-b10a-40c6-80d6-74e1dbb45902,4409098,https://api.naturemapr.org/api/sightings/4409098/images/1
70e4fe20-2603-430e-8a8f-3113536843f7,4409096,https://api.naturemapr.org/api/sightings/4409096/images/1
